"","words","n","pos","neg"
"128","made",58,38,20
"129","done",57,39,18
"130","hello",57,49,8
"131","mean",57,19,38
"132","final",56,24,32
"133","happen",56,13,43
"134","live",56,23,33
"135","bestfriend",55,49,6
"136","dont",55,13,42
"137","gt",55,9,46
"138","smile",55,46,9
"139","babi",54,17,37
"140","beauti",54,44,10
"141","check",54,38,16
"142","hate",54,9,45
"143","amaz",53,41,12
"144","believ",53,7,46
"145","ok",53,28,25
"146","rain",53,17,36
"147","mani",52,28,24
"148","girl",51,34,17
"149","stat",51,51,0
"150","hear",50,24,26
"151","hour",50,24,26
"152","end",49,13,36
"153","here",49,40,9
"154","meet",49,26,23
"155","share",49,41,8
"156","stop",49,14,35
"157","support",49,25,24
"158","thought",49,21,28
"159","ur",49,30,19
"160","call",48,26,22
"161","dm",48,31,17
"162","video",48,28,20
"163","ask",47,25,22
"164","were",47,26,21
"165","xx",47,33,14
"166","also",46,29,17
"167","free",46,32,14
"168","game",46,23,23
"169","littl",46,29,17
"170","someth",46,25,21
"171","glad",45,42,3
"172","now",45,22,23
"173","twitter",45,25,20
"174","bam",44,44,0
"175","bc",44,7,37
"176","ever",44,19,25
"177","said",44,15,29
"178","sinc",44,11,33
"179","there",44,20,24
"180","warsaw",44,44,0
"181","what",44,19,25
"182","chang",43,20,23
"183","cri",43,6,37
"184","read",43,28,15
"185","retweet",43,38,5
"186","big",42,25,17
"187","hard",42,10,32
"188","job",42,34,8
"189","leav",42,12,30
"190","phone",42,16,26
"191","stay",42,21,21
"192","tell",42,22,20
"193","tire",42,5,37
"194","man",41,16,25
"195","song",41,16,25
"196","yet",41,12,29
"197","ff",40,39,1
"198","add",39,19,20
"199","awesom",39,34,5
"200","justin",39,2,37
"201","show",38,19,19
"202","team",38,25,13
"203","true",38,19,19
"204","again",37,18,19
"205","citi",37,26,11
"206","fan",37,20,17
"207","hurt",37,4,33
"208","id",37,21,16
"209","went",37,10,27
"210","world",37,22,15
"211","late",36,12,24
"212","mayb",36,17,19
"213","shit",36,11,25
"214","sound",36,20,16
"215","tonight",36,16,20
"216","wrong",36,9,27
"217","anyth",35,18,17
"218","busi",35,14,21
"219","ice",35,6,29
"220","ｍｅ",35,0,35
"221","real",35,18,17
"222","ｓｅｅ",35,0,35
"223","visit",35,25,10
"224","win",35,12,23
"225","wonder",35,26,9
"226","account",34,17,17
"227","anoth",34,16,18
"228","dream",34,17,17
"229","enough",34,16,18
"230","news",34,16,18
"231","pic",34,21,13
"232","actual",33,13,20
"233","away",33,11,22
"234","cool",33,29,4
"235","cream",33,6,27
"236","everi",33,23,10
"237","hes",33,12,21
"238","kind",33,24,9
"239","movi",33,16,17
"240","place",33,21,12
"241","plan",33,20,13
"242","sick",33,1,32
"243","stream",33,12,21
"244","top",33,29,4
"245","aw",32,2,30
"246","email",32,22,10
"247","excit",32,28,4
"248","left",32,10,22
"249","pls",32,6,26
"250","school",32,10,22
"251","tho",32,9,23
"252","weather",32,7,25
"253","book",31,15,16
"254","concert",31,22,9
"255","idea",31,23,8
"256","luck",31,26,5
"257","may",31,16,15
"258","might",31,21,10
"259","noth",31,13,18
"260","poor",31,3,28
"261","readi",31,22,9
"262","saw",31,16,15
"263","this",31,14,17
"264","appreci",30,28,2
"265","around",30,13,17
"266","hug",30,10,20
"267","month",30,12,18
"268","word",30,17,13
"269","god",29,16,13
"270","head",29,11,18
"271","hot",29,20,9
"272","kid",29,13,16
"273","pretti",29,17,12
"274","without",29,9,20
"275","ya",29,18,11
"276","bit",28,16,12
"277","close",28,12,16
"278","countri",28,22,6
"279","full",28,17,11
"280","heart",28,6,22
"281","listen",28,14,14
"282","person",28,14,14
"283","suck",28,8,20
"284","travel",28,19,9
"285","two",28,15,13
"286","wake",28,10,18
"287","ah",27,12,15
"288","blog",27,27,0
"289","communiti",27,26,1
"290","dear",27,15,12
"291","eat",27,4,23
"292","far",27,11,16
"293","least",27,14,13
"294","music",27,15,12
"295","photo",27,16,11
"296","turn",27,14,13
"297","ago",26,8,18
"298","all",26,15,11
"299","aww",26,8,18
"300","do",26,10,16
"301","fback",26,26,0
"302","must",26,14,12
"303","na",26,7,19
"304","rest",26,9,17
"305","sometim",26,11,15
"306","up",26,12,14
"307","finish",25,15,10
"308","forward",25,20,5
"309","join",25,21,4
"310","money",25,5,20
"311","notic",25,9,16
"312","old",25,12,13
"313","open",25,12,13
"314","order",25,12,13
"315","out",25,14,11
"316","pain",25,8,17
"317","post",25,16,9
"318","send",25,18,7
"319","summer",25,12,13
"320","text",25,12,13
"321","theyr",25,10,15
"322","anyway",24,14,10
"323","app",24,12,12
"324","asleep",24,7,17
"325","care",24,12,12
"326","everyth",24,10,14
"327","eye",24,12,12
"328","holiday",24,9,15
"329","mention",24,18,6
"330","name",24,12,12
"331","no",24,9,15
"332","part",24,14,10
"333","abl",23,6,17
"334","babe",23,7,16
"335","bodi",23,12,11
"336","boy",23,13,10
"337","came",23,7,16
"338","damn",23,3,20
"339","die",23,8,15
"340","famili",23,14,9
"341","followfriday",23,23,0
"342","ha",23,18,5
"343","hair",23,7,16
"344","link",23,14,9
"345","problem",23,17,6
"346","trip",23,12,11
"347","ugh",23,1,22
"348","bring",22,14,8
"349","definit",22,20,2
"350","drive",22,9,13
"351","face",22,5,17
"352","food",22,10,12
"353","juli",22,10,12
"354","later",22,12,10
"355","mine",22,11,11
"356","pass",22,10,12
"357","till",22,16,6
"358","updat",22,12,10
"359","anyon",21,7,14
"360","bore",21,6,15
"361","caus",21,11,10
"362","cheer",21,18,3
"363","design",21,18,3
"364","didnt",21,1,20
"365","either",21,10,11
"366","forget",21,16,5
"367","found",21,11,10
"368","gtgt",21,19,2
"369","hahaha",21,11,10
"370","interest",21,16,5
"371","kinda",21,12,9
"372","parti",21,8,13
"373","pick",21,11,10
"374","pictur",21,7,14
"375","put",21,11,10
"376","run",21,11,10
"377","seen",21,6,15
"378","sexi",21,8,13
"379","stori",21,10,11
"380","worri",21,16,5
"381","10",20,13,7
"382","anymor",20,3,17
"383","buy",20,10,10
"384","favourit",20,12,8
"385","funni",20,16,4
"386","gone",20,4,16
"387","guess",20,7,13
"388","member",20,14,6
"389","moment",20,8,12
"390","move",20,9,11
"391","perfect",20,18,2
"392","point",20,11,9
"393","question",20,15,5
"394","rememb",20,9,11
"395","seem",20,8,12
"396","shop",20,12,8
"397","sweet",20,15,5
"398","whi",20,3,17
"399","avail",19,8,11
"400","bro",19,17,2
"401","differ",19,10,9
"402","dog",19,7,12
"403","follback",19,18,1
"404","goodnight",19,18,1
"405","liter",19,6,13
"406","lucki",19,7,12
"407","mom",19,7,12
"408","shame",19,1,18
"409","side",19,13,6
"410","stuff",19,11,8
"411","them",19,10,9
"412","ticket",19,10,9
"413","view",19,13,6
"414","write",19,11,8
"415","wsalelov",19,14,5
"416","zayniscomingbackonjuly26",19,0,19
"417","bed",18,8,10
"418","fall",18,5,13
"419","lost",18,0,18
"420","near",18,10,8
"421","opportun",18,17,1
"422","proud",18,10,8
"423","quit",18,11,7
"424","set",18,9,9
"425","wow",18,14,4
"426","yay",18,15,3
"427",";)",17,17,0
"428","agre",17,13,4
"429","awww",17,7,10
"430","car",17,6,11
"431","cat",17,5,12
"432","chanc",17,3,14
"433","congrat",17,15,2
"434","cours",17,10,7
"435","goodby",17,5,12
"436","hous",17,5,12
"437","huhu",17,3,14
"438","idk",17,0,17
"439","manag",17,5,12
"440","messag",17,9,8
"441","mind",17,13,4
"442","onlin",17,4,13
"443","repli",17,5,12
"444","rn",17,4,13
"445","short",17,7,10
"446","sign",17,9,8
"447","so",17,7,10
"448","tbh",17,5,12
"449","train",17,7,10
"450","understand",17,6,11
"451","2015",16,8,8
"452","af",16,6,10
"453","aint",16,6,10
"454","album",16,5,11
"455","awak",16,8,8
"456","catch",16,9,7
"457","complet",16,10,6
"458","date",16,10,6
"459","dude",16,6,10
"460","flipkartfashionfriday",16,16,0
"461","hell",16,5,11
"462","hornykik",16,2,14
"463","ignor",16,1,15
"464","influenc",16,16,0
"465","insid",16,7,9
"466","invit",16,15,1
"467","is",16,8,8
"468","kikgirl",16,4,12
"469","kill",16,3,13
"470","number",16,11,5
"471","pay",16,8,8
"472","sa",16,6,10
"473","serious",16,2,14
"474","super",16,12,4
"475","unfortun",16,2,14
"476","walk",16,10,6
"477","woke",16,3,13
"478","xxx",16,9,7
"479",":-))",15,15,0
"480","answer",15,6,9
"481","connect",15,13,2
"482","els",15,10,5
"483","gift",15,7,8
"484","hai",15,7,8
"485","half",15,6,9
"486","hand",15,4,11
"487","hungri",15,2,13
"488","issu",15,7,8
"489","offer",15,7,8
"490","paper",15,3,12
"491","releas",15,11,4
"492","ruin",15,5,10
"493","sent",15,7,8
"494","store",15,12,3
"495","town",15,4,11
"496","water",15,7,8
"497","whole",15,5,10
"498","youth",15,15,0
"499","24",14,3,11
"500","almost",14,8,6
"501","ate",14,4,10
"502","bet",14,6,8
"503","black",14,4,10
"504","chat",14,9,5
"505","cold",14,1,13
"506","cut",14,1,13
"507","drink",14,7,7
"508","drop",14,8,6
"509","due",14,2,12
"510","earli",14,6,8
"511","episod",14,5,9
"512","feedback",14,10,4
"513","forgot",14,2,12
"514","heard",14,9,5
"515","high",14,6,8
"516","hit",14,11,3
"517","london",14,4,10
"518","low",14,6,8
"519","monday",14,7,7
"520","mum",14,2,12
"521","other",14,8,6
"522","probabl",14,8,6
"523","quick",14,9,5
"524","saturday",14,4,10
"525","scare",14,1,13
"526","sigh",14,3,11
"527","sir",14,10,4
"528","stage",14,2,12
"529","sun",14,6,8
"530","surpris",14,9,5
"531","three",14,8,6
"532","took",14,7,7
"533","total",14,5,9
"534","whos",14,7,7
"535","yesterday",14,5,9
"536","12",13,6,7
"537","20",13,6,7
"538","cake",13,5,8
"539","certain",13,6,7
"540","click",13,12,1
"541","fine",13,7,6
"542","fli",13,5,8
"543","how",13,5,8
"544","indiemus",13,3,10
"545","infinit",13,2,11
"546","line",13,6,7
"547","list",13,10,3
"548","pack",13,7,6
"549","plz",13,10,3
"550","product",13,10,3
"551","reason",13,10,3
"552","selfi",13,8,5
"553","sort",13,7,6
"554","stress",13,4,9
"555","stuck",13,5,8
"556","sunday",13,6,7
"557","terribl",13,2,11
"558","test",13,7,6
"559","thankyou",13,11,2
"560","thx",13,12,1
"561","told",13,4,9
"562","ubericecream",13,0,13
"563","weird",13,4,9
"564","worst",13,3,10
"565","your",13,6,7
"566","absolut",12,8,4
"567","alon",12,0,12
"568","becom",12,8,4
"569","blue",12,8,4
"570","brilliant",12,11,1
"571","brother",12,3,9
"572","btw",12,9,3
"573","chocol",12,6,6
"574","choiceinternationalartist",12,7,5
"575","convers",12,6,6
"576","deserv",12,8,4
"577","download",12,10,2
"578","dress",12,7,5
"579","easi",12,7,5
"580","fair",12,4,8
"581","favorit",12,9,3
"582","fix",12,6,6
"583","forev",12,5,7
"584","futur",12,9,3
"585","harri",12,2,10
"586","havent",12,4,8
"587","info",12,11,1
"588","jealous",12,4,8
"589","kikmeboy",12,6,6
"590","knew",12,7,5
"591","la",12,5,7
"592","light",12,5,7
"593","lmao",12,2,10
"594","model",12,6,6
"595","nope",12,7,5
"596","offic",12,6,6
"597","peac",12,8,4
"598","realiz",12,7,5
"599","receiv",12,7,5
"600","room",12,4,8
"601","season",12,5,7
"602","second",12,9,3
"603","sit",12,7,5
"604","speak",12,8,4
"605","stand",12,6,6
"606","superjunior",12,7,5
"607","teenchoic",12,7,5
"608","togeth",12,6,6
"609","touch",12,7,5
"610","wed",12,8,4
"611","wet",12,2,10
"612","wont",12,4,8
"613","wtf",12,2,10
"614","youtub",12,8,4
"615",":'(",11,0,11
"616",":*",11,7,4
"617",":/",11,5,6
"618","ad",11,10,1
"619","address",11,8,3
"620","ahh",11,4,7
"621","bae",11,4,7
"622","bday",11,8,3
"623","bitch",11,3,8
"624","block",11,2,9
"625","brain",11,9,2
"626","broken",11,3,8
"627","bye",11,5,6
"628","card",11,5,6
"629","case",11,5,6
"630","chill",11,5,6
"631","coffe",11,10,1
"632","comment",11,8,3
"633","congratul",11,9,2
"634","contact",11,4,7
"635","count",11,5,6
"636","current",11,6,5
"637","dead",11,3,8
"638","decid",11,2,9
"639","detail",11,8,3
"640","disappoint",11,1,10
"641","ear",11,9,2
"642","earlier",11,3,8
"643","event",11,9,2
"644","gotta",11,4,7
"645","group",11,7,4
"646","hold",11,4,7
"647","huge",11,9,2
"648","iphon",11,7,4
"649","kikhorni",11,1,10
"650","lil",11,4,7
"651","lunch",11,3,8
"652","mad",11,3,8
"653","min",11,7,4
"654","minut",11,5,6
"655","nobodi",11,2,9
"656","offici",11,8,3
"657","on",11,4,7
"658","origin",11,6,5
"659","outsid",11,3,8
"660","parent",11,4,7
"661","power",11,6,5
"662","pray",11,0,11
"663","rip",11,3,8
"664","rude",11,3,8
"665","save",11,6,5
"666","secret",11,9,2
"667","ship",11,7,4
"668","shot",11,6,5
"669","shout",11,11,0
"670","star",11,8,3
"671","stupid",11,4,7
"672","tour",11,4,7
"673","upset",11,1,10
"674","vote",11,6,5
"675","websit",11,6,5
"676","worth",11,9,2
"677","yep",11,6,5
"678","100",10,4,6
"679","15",10,4,6
"680","age",10,2,8
"681","allow",10,4,6
"682","annoy",10,2,8
"683","articl",10,9,1
"684","august",10,5,5
"685","bag",10,4,6
"686","bb",10,4,6
"687","break",10,5,5
"688","cancel",10,0,10
"689","choic",10,6,4
"690","collect",10,7,3
"691","dad",10,3,7
"692","dark",10,5,5
"693","dinner",10,6,4
"694","doesnt",10,6,4
"695","dot",10,8,2
"696","edit",10,6,4
"697","enter",10,9,1
"698","exact",10,5,5
"699","fail",10,3,7
"700","fav",10,10,0
"701","fell",10,2,8
"702","figur",10,5,5
"703","film",10,8,2
"704","giveaway",10,7,3
"705","googl",10,5,5
"706","gorgeous",10,9,1
"707","gut",10,0,10
"708","her",10,4,6
"709","hotel",10,5,5
"710","jame",10,7,3
"711","kikchat",10,1,9
"712","ko",10,3,7
"713","laugh",10,4,6
"714","leed",10,1,9
"715","match",10,5,5
"716","normal",10,5,5
"717","ohh",10,2,8
"718","pleasur",10,10,0
"719","quot",10,5,5
"720","shoot",10,5,5
"721","site",10,7,3
"722","slow",10,2,8
"723","small",10,2,8
"724","solo",10,4,6
"725","somewher",10,5,5
"726","sore",10,5,5
"727","special",10,7,3
"728","strong",10,6,4
"729","suppos",10,6,4
"730","tea",10,3,7
"731","to",10,5,5
"732","uk",10,4,6
"733","uniteblu",10,0,10
"734","usual",10,6,4
"735","voic",10,2,8
"736","wife",10,5,5
"737","window",10,6,4
"738","zayn",10,2,8
"739","2nd",9,5,4
"740","afternoon",9,7,2
"741","air",9,7,2
"742","airport",9,2,7
"743","amber",9,2,7
"744","anim",9,6,3
"745","apart",9,2,7
"746","appar",9,5,4
"747","aqui",9,9,0
"748","art",9,5,4
"749","ass",9,1,8
"750","awwww",9,4,5
"751","ball",9,7,2
"752","bank",9,1,8
"753","bbi",9,3,6
"754","beach",9,4,5
"755","bill",9,4,5
"756","bless",9,8,1
"757","buddi",9,7,2
"758","but",9,1,8
"759","choos",9,2,7
"760","class",9,1,8
"761","code",9,3,6
"762","colour",9,5,4
"763","comput",9,4,5
"764","confus",9,2,7
"765","cover",9,7,2
"766","emot",9,2,7
"767","fab",9,8,1
"768","fact",9,6,3
"769","fantast",9,9,0
"770","festiv",9,7,2
"771","finger",9,3,6
"772","followback",9,3,6
"773","front",9,3,6
"774","gave",9,3,6
"775","gay",9,3,6
"776","green",9,2,7
"777","greet",9,4,5
"778","grow",9,6,3
"779","horribl",9,1,8
"780","instead",9,6,3
"781","internet",9,2,7
"782","joke",9,2,7
"783","learn",9,6,3
"784","less",9,6,3
"785","load",9,1,8
"786","longer",9,1,8
"787","lose",9,2,7
"788","madrid",9,2,7
"789","matter",9,5,4
"790","more",9,4,5
"791","mr",9,3,6
"792","not",9,3,6
"793","past",9,6,3
"794","perform",9,2,7
"795","present",9,6,3
"796","prob",9,5,4
"797","project",9,6,3
"798","queen",9,6,3
"799","radio",9,5,4
"800","red",9,5,4
"801","review",9,8,1
"802","rock",9,6,3
"803","sex",9,4,5
"804","shift",9,4,5
"805","size",9,3,6
"806","skype",9,3,6
"807","sooo",9,3,6
"808","success",9,5,4
"809","sunshin",9,6,3
"810","tcot",9,0,9
"811","treat",9,4,5
"812","tuesday",9,5,4
"813","ugli",9,3,6
"814","version",9,6,3
"815","we",9,6,3
"816","weve",9,6,3
"817","xd",9,3,6
"818","yall",9,6,3
"819","yo",9,5,4
"820","act",8,6,2
"821","activ",8,2,6
"822","along",8,5,3
"823","alright",8,5,3
"824","beat",8,7,1
"825","braindot",8,8,0
"826","breakfast",8,4,4
"827","cc",8,2,6
"828","ceo1month",8,8,0
"829","channel",8,4,4
"830","chees",8,4,4
"831","crave",8,1,7
"832","creat",8,6,2
"833","door",8,3,5
"834","exam",8,4,4
"835","experi",8,6,2
"836","facebook",8,4,4
"837","facetim",8,4,4
"838","fast",8,2,6
"839","fb",8,4,4
"840","featur",8,5,3
"841","folk",8,7,1
"842","four",8,5,3
"843","fri",8,2,6
"844","goe",8,4,4
"845","gold",8,7,1
"846","gym",8,3,5
"847","hack",8,1,7
"848","hang",8,2,6
"849","him",8,5,3
"850","huh",8,2,6
"851","hurri",8,5,3
"852","imag",8,5,3
"853","inform",8,4,4
"854","instagram",8,5,3
"855","kikm",8,1,7
"856","kiksext",8,4,4
"857","limit",8,4,4
"858","loui",8,4,4
"859","main",8,7,1
"860","men",8,8,0
"861","met",8,3,5
"862","middl",8,2,6
"863","mistak",8,2,6
"864","mood",8,6,2
"865","off",8,2,6
"866","pa",8,2,6
"867","paid",8,0,8
"868","park",8,2,6
"869","pizza",8,1,7
"870","pool",8,5,3
"871","pop",8,5,3
"872","possibl",8,5,3
"873","race",8,5,3
"874","realis",8,2,6
"875","recent",8,8,0
"876","respons",8,6,2
"877","return",8,2,6
"878","roll",8,4,4
"879","rt",8,3,5
"880","safe",8,3,5
"881","sale",8,2,6
"882","schedul",8,0,8
"883","sister",8,4,4
"884","spree",8,4,4
"885","student",8,5,3
"886","taken",8,1,7
"887","teen",8,3,5
"888","tgif",8,7,1
"889","then",8,4,4
"890","tl",8,1,7
"891","tom",8,5,3
"892","trust",8,7,1
"893","vid",8,8,0
"894","white",8,2,6
"895","wick",8,8,0
"896","with",8,3,5
"897","woman",8,3,5
"898","wors",8,1,7
"899","yup",8,4,4
"900","13",7,5,2
"901","afford",7,0,7
"902","al",7,3,4
"903","ang",7,2,5
"904","angri",7,3,4
"905","anybodi",7,0,7
"906","asap",7,5,2
"907","at",7,6,1
"908","australia",7,4,3
"909","bare",7,3,4
"910","be",7,3,4
"911","bio",7,4,3
"912","bought",7,2,5
"913","box",7,2,5
"914","breath",7,3,4
"915","broadcast",7,1,6
"916","broke",7,1,6
"917","calm",7,5,2
"918","camp",7,0,7
"919","cannot",7,3,4
"920","celebr",7,4,3
"921","chicken",7,3,4
"922","clean",7,1,6
"923","clear",7,4,3
"924","colleg",7,2,5
"925","coupl",7,5,2
"926","crazi",7,3,4
"927","credit",7,4,3
"928","cuddl",7,1,6
"929","cuz",7,4,3
"930","data",7,1,6
"931","draw",7,5,2
"932","earth",7,7,0
"933","engag",7,7,0
"934","english",7,2,5
"935","entir",7,2,5
"936","everywher",7,1,6
"937","except",7,2,5
"938","expect",7,3,4
"939","expens",7,0,7
"940","extra",7,5,2
"941","feed",7,4,3
"942","felt",7,3,4
"943","fever",7,1,6
"944","flight",7,2,5
"945","garden",7,5,2
"946","goodmorn",7,7,0
"947","hahahaha",7,2,5
"948","hay",7,0,7
"949","hehe",7,7,0
"950","honest",7,5,2
"951","human",7,4,3
"952","interview",7,5,2
"953","itll",7,5,2
"954","kikmeguy",7,2,5
"955","kikmenow",7,2,5
"956","kiss",7,3,4
"957","ladi",7,5,2
"958","latest",7,4,3
"959","leagu",7,6,1
"960","leg",7,3,4
"961","lie",7,2,5
"962","likeforlik",7,0,7
"963","lone",7,0,7
"964","luke",7,3,4
"965","market",7,5,2
"966","mate",7,5,2
"967","memori",7,3,4
"968","minecraft",7,7,0
"969","mix",7,5,2
"970","ni",7,3,4
"971","nightmar",7,0,7
"972","nose",7,0,7
"973","oop",7,4,3
"974","otherwis",7,4,3
"975","outfit",7,2,5
"976","page",7,5,2
"977","paint",7,4,3
"978","player",7,4,3
"979","playlist",7,5,2
"980","plus",7,3,4
"981","price",7,3,4
"982","promis",7,4,3
"983","provid",7,4,3
"984","record",7,4,3
"985","regret",7,4,3
"986","relationship",7,3,4
"987","ride",7,5,2
"988","same",7,1,6
"989","scari",7,1,6
"990","session",7,2,5
"991","shes",7,3,4
"992","sing",7,2,5
"993","slept",7,3,4
"994","soul",7,5,2
"995","spend",7,1,6
"996","spread",7,7,0
"997","station",7,4,3
"998","step",7,3,4
"999","stomach",7,0,7
"1000","sunni",7,5,2
"1001","swear",7,3,4
"1002","tagsforlik",7,3,4
"1003","traffic",7,2,5
"1004","tv",7,4,3
"1005","twitch",7,7,0
"1006","ty",7,4,3
"1007","vacat",7,5,2
"1008","virgin",7,5,2
"1009","warm",7,4,3
"1010","wear",7,3,4
"1011","wifi",7,2,5
"1012","women",7,3,4
"1013","young",7,3,4
"1014",":-*",6,5,1
"1015","11",6,3,3
"1016","1d",6,2,4
"1017","5sos",6,2,4
"1018","acc",6,1,5
"1019","advic",6,6,0
"1020","allah",6,3,3
"1021","ami",6,4,2
"1022","android",6,4,2
"1023","angel",6,4,2
"1024","anytim",6,5,1
"1025","appl",6,3,3
"1026","appli",6,5,1
"1027","basic",6,4,2
"1028","bath",6,6,0
"1029","bi0",6,6,0
"1030","board",6,5,1
"1031","bomb",6,3,3
"1032","boyfriend",6,0,6
"1033","brand",6,6,0
"1034","burger",6,4,2
"1035","burn",6,2,4
"1036","camera",6,6,0
"1037","chelni",6,2,4
"1038","cloth",6,1,5
"1039","club",6,2,4
"1040","compani",6,3,3
"1041","consid",6,3,3
"1042","cough",6,5,1
"1043","cousin",6,3,3
"1044","crash",6,0,6
"1045","cross",6,2,4
"1046","cup",6,4,2
"1047","cuti",6,5,1
"1048","da",6,1,5
"1049","danc",6,1,5
"1050","deal",6,1,5
"1051","death",6,4,2
"1052","delay",6,1,5
"1053","dis",6,2,4
"1054","disgust",6,0,6
"1055","dms",6,3,3
"1056","entri",6,3,3
"1057","ep",6,3,3
"1058","everyday",6,1,5
"1059","fantasi",6,5,1
"1060","fish",6,4,2
"1061","forgotten",6,3,3
"1062","fr",6,3,3
"1063","freak",6,3,3
"1064","french",6,4,2
"1065","fridayfeel",6,5,1
"1066","fruit",6,4,2
"1067","goal",6,2,4
"1068","gosh",6,2,4
"1069","grand",6,4,2
"1070","grate",6,5,1
"1071","have",6,4,2
"1072","heck",6,1,5
"1073","hmm",6,2,4
"1074","imagin",6,5,1
"1075","inact",6,0,6
"1076","inde",6,6,0
"1077","injur",6,0,6
"1078","inspir",6,6,0
"1079","jack",6,3,3
"1080","jacob",6,2,4
"1081","jgh",6,4,2
"1082","jk",6,1,5
"1083","john",6,6,0
"1084","knee",6,4,2
"1085","knock",6,3,3
"1086","languag",6,1,5
"1087","law",6,2,4
"1088","liam",6,5,1
"1089","luv",6,4,2
"1090","makeup",6,1,5
"1091","mari",6,5,1
"1092","massag",6,1,5
"1093","matt",6,5,1
"1094","meant",6,2,4
"1095","mouth",6,1,5
"1096","neither",6,2,4
"1097","omegl",6,2,4
"1098","oppa",6,4,2
"1099","panda",6,5,1
"1100","physic",6,1,5
"1101","ppl",6,1,5
"1102","promot",6,3,3
"1103","quacketyquack",6,6,0
"1104","quiet",6,1,5
"1105","rang",6,2,4
"1106","recip",6,6,0
"1107","refresh",6,4,2
"1108","reject",6,0,6
"1109","relax",6,3,3
"1110","repeat",6,3,3
"1111","request",6,4,2
"1112","result",6,2,4
"1113","sam",6,2,4
"1114","scienc",6,5,1
"1115","screenshot",6,2,4
"1116","sell",6,1,5
"1117","sens",6,6,0
"1118","septemb",6,4,2
"1119","seri",6,4,2
"1120","shall",6,5,1
"1121","shoe",6,4,2
"1122","singl",6,4,2
"1123","sis",6,4,2
"1124","smart",6,5,1
"1125","spam",6,1,5
"1126","spent",6,2,4
"1127","spot",6,3,3
"1128","srsli",6,1,5
"1129","style",6,5,1
"1130","subject",6,6,0
"1131","suit",6,4,2
"1132","tag",6,5,1
"1133","tank",6,6,0
"1134","teeth",6,1,5
"1135","til",6,1,5
"1136","track",6,5,1
"1137","trend",6,2,4
"1138","truth",6,3,3
"1139","unexpect",6,4,2
"1140","unit",6,3,3
"1141","vs",6,2,4
"1142","wast",6,1,5
"1143","web",6,4,2
"1144","wednesday",6,1,5
"1145","where",6,2,4
"1146","wrote",6,3,3
